date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:06:56	15011/15011	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223aa3-49773873e8%22	https://baseboomer.com/images/white-splash-divider.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/white-splash-divider.svg	(from https://baseboomer.com/css/main.css)
04:06:57	70832/70832	---M--	200	added ('OK')	image/webp	etag:W/%22114b0-49773873e8%22	https://baseboomer.com/images/divider.webp	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/divider.webp	(from https://baseboomer.com/css/main.css)
04:06:57	143482/143482	---M--	200	added ('OK')	image/webp	etag:W/%222307a-49773873e8%22	https://baseboomer.com/images/background.webp	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/background.webp	(from https://baseboomer.com/css/main.css)
04:06:58	6341/6341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2218c5-49773873e8%22	https://baseboomer.com/images/basebg.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/basebg.svg	(from https://baseboomer.com/css/main.css)
04:06:58	1358/1358	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2254e-49773873e8%22	https://baseboomer.com/images/header-background.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/header-background.svg	(from https://baseboomer.com/css/main.css)
04:06:59	86490/86490	---M--	200	added ('OK')	image/webp	etag:W/%22151da-49773873e8%22	https://baseboomer.com/images/scrollablesky.webp	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/scrollablesky.webp	(from https://baseboomer.com/css/main.css)
04:06:59	32387/32387	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227e83-49773873e8%22	https://baseboomer.com/images/frame-bg.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/frame-bg.svg	(from https://baseboomer.com/css/main.css)
04:07:00	209019/209019	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223307b-49773873e8%22	https://baseboomer.com/images/schoolboomer.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/schoolboomer.svg	(from https://baseboomer.com/css/main.css)
04:07:00	35201/35201	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228981-49773873e8%22	https://baseboomer.com/images/mountains.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/mountains.svg	(from https://baseboomer.com/css/main.css)
04:07:01	1151/1151	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2247f-49773873e8%22	https://baseboomer.com/images/playbutton-white.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/playbutton-white.svg	(from https://baseboomer.com/css/main.css)
